"sep=	"
Document type	Open Access	Number	Authors countries	Authors	Title	Journal title	Volume	Pages	Year	Beamline(s)	Facility used	Proposal number	DOI	DOI added	WoS Number
Article from Conference in a Book		ESRF04FR440	France (ESRF)	Freund A.K.	Applications of mosaic crystals to high brilliance X-ray optics	Proceedings SPIE	1740	58-69	1992	ID19	ESRF (Grenoble)				
Journal article		ESRF92FR105		Freund A.K.	X-ray optics for ESRF beamlines : Problems and projects.	Review of Scientific Instruments	63	413-418	1992					10.1063/1.1142718	WOS:A1992GZ62700032
Book chapter		ESRF92FR174		Freund A.K., Dolling G.	Devices for neutron beam definition.										
Journal article		ESRF92FR108		Freund A.K., Joksch S., Kawata H., Marot G., Ziegler E.	Performance of beryllium crystals exposed to high x-ray power density.	Review of Scientific Instruments	63	446-449	1992					10.1063/1.1142726	WOS:A1992GZ62700039
Journal article		ESRF92FR107		Freund A.K., Marot G., Kawata H., Joksch S., Ziegler E.	Performance of very thin silicon single-crystal foils under high x-ray power density.	Review of Scientific Instruments	63	442-445	1992					10.1063/1.1142725	WOS:A1992GZ62700038
Journal article		ESRF92FR118		Freund A.K., Mills D.	Summary of the satellite workshop on thermal problems of synchrotron radiation optics.	Review of Scientific Instruments	63	1623-1624	1992					10.1063/1.1142997	WOS:A1992GZ94300200
Journal article		ESRF92FR109		Freund A.K., Susini J., Ziegler E.	The optics laboratory of the ESRF. (Abstract).	Review of Scientific Instruments	63	450	1992						
Article from Conference in a Book		ESRF04GO449	France (ESRF)/France (not ESRF)/Italy	Goulon J., Emerich H., Giles C., Malgrange C., Brookes N.	Soft to firm X-ray spectroscopy at a hard X-ray facility : Polarization sensitive experiments	Proceedings SPIE	1740	140-151	1992		ESRF (Grenoble)				
Article from Conference in a Book		ESRF92GO160		Goulon J., Goulon C., Gauthier C., Emerich H.	X-ray excited fluorescence correlation spectroscopy : a new tool for molecular studies.	AIP Conference Proceedings	258	419-427	1992						
Article from Conference in a Book		ESRF92HA161		Haensel R.	ESRF and the third generation of synchrotron radiation sources.	AIP Conference Proceedings	258	665-672	1992						
Journal article		ESRF93HA124		Haensel R.	European synchrotron radiation facility	Acta Physica Polonica A	82	33-36	1992						
Journal article		ESRF92HA133		Haensel R.	European Synchrotron Radiation Facility.	Review of Scientific Instruments	63	1571-1572	1992					10.1063/1.1143024	WOS:A1992GZ94300177
