Document type,Open Access,Number,Authors countries,Authors,Title,Journal title,Volume,Pages,Year,Beamline(s),Facility used,Proposal number,DOI,DOI added,WoS Number,Type,Facility repository
Article from Conference in a Journal,,ESRF10SU305,France (ESRF)/Spain,"Subías G., García J., Blasco J., Herrero-Martín J., Sánchez M.C.",Resonant X-ray scattering in 3d-transition-metal oxides: Anisotropy and charge orderings,Journal of Physics : Conference Series,190,012085-1-012085-12,2009.0,ID20_RXD,ESRF (Grenoble),,10.1088/1742-6596/190/1/012085,,WOS:000275152100086,1,ESRF
Journal article,,ESRF09SU522,Canada/France (ESRF)/Germany/USA,"Suess E., Scheinost A.C., Bostick B.C., Merkel B.J., Wallschläger D., Planer-Friedrich B.",Discrimination of thioarsenites and thioarsenates by X-ray absorption spectroscopy,Analytical Chemistry,81,8318-8326,2009.0,BM20,ESRF (Grenoble)/SSRL (Stanford),,10.1021/ac901094b,,WOS:000270670600007,1,ESRF
Journal article,,ESRF09SW561,France (ESRF)/Sweden,"Swarbrick J.C., Skyllberg U., Karlsson T., Glatzel P.",High energy resolution X-ray absorption spectroscopy of environmentally relevant lead(II) compounds,Inorganic Chemistry,48,10748-10756,2009.0,ID26,ESRF (Grenoble),EC-320,10.1021/ic9015299,,WOS:000271428600035,1,ESRF
Journal article,,ESRF09SZ495,France (ESRF)/Poland/Slovenia/Switzerland,"Szlachetko J., Banas D., Kubala-Kukus A., Pajek M., Cao W., Dousse J.C., Hoszowska J., Kayser Y., Szlachetko M., Kavčič M., Salomé M., Susini J.",Application of the high-resolution grazing-emission X-ray fluorescence method for impurities control in semiconductor nanotechnology,Journal of Applied Physics,105,086101-1-086101-3,2009.0,ID21,ESRF (Grenoble),,10.1063/1.3086658,,WOS:000268064700195,1,ESRF
Article from Conference in a Journal,,ESRF09TA430,France (ESRF)/Poland,"Tabis W., Kusz J., Hoa Kim-Ngan N.T., Tarnawski Z., Zontone F., Kakol Z., Kozłowski A.",Structural changes at the Verwey transition in Fe3O4,Radiation Physics and Chemistry,78,S93-S96,2009.0,ID10A,ESRF (Grenoble),HS-3274,10.1016/j.radphyschem.2009.02.010,,WOS:000270692000021,1,ESRF
Journal article,,ESRF10TA328,France (ESRF)/France (not ESRF)/Switzerland/Algeria/Germany,"Tabuce R., Marivaux L., Lebrun R., Adaci M., Bensalah M., Fabre P.H., Fara E., Gomes Rodrigues H., Hautier L., Jaeger J.J., Lazzari V., Mebrouk F., Peigné S., Sudre J., Tafforeau P., Valentin X., Mahboubi M.",Anthropoid versus strepsirhine status of the African Eocene primates Algeripithecus and Azibius: Craniodental evidence,Proceedings of the Royal Society B,276,4087-4094,2009.0,ID17/ID19,ESRF (Grenoble),,10.1098/rspb.2009.1339,,WOS:000271055400001,1,ESRF
Journal article,,ESRF09TA244,France (ESRF)/Italy,"Tagliaferri A., Bisogni V., Brookes N.B.",Subfemtosecond magnetization dynamics in diluted ferromagnetic metals,Journal of Applied Physics,105,07E507-1-07E507-3,2009.0,ID8,ESRF (Grenoble),,10.1063/1.3062951,,WOS:000266633500694,1,ESRF
Journal article,,ESRF09TA659,Sweden/Hungary/France (ESRF),"Talyzin A.V., Sundqvist B., Dmitriev V., Szabó T., Dékány I.",Pressure-induced insertion of liquid alcohols into graphite oxide structure,Journal of the American Chemical Society,131,18445-18449,2009.0,BM1A,ESRF (Grenoble),,10.1021/ja907492s,,WOS:000273615800057,1,ESRF
Journal article,,ESRF09TA543,Germany/Ireland/France (ESRF),"Tao K., Stepanyuk V.S., Hergert W., Rungger I., Sanvito S., Bruno P.",Switching a single spin on metal surfaces by a STM tip: Ab initio studies,Physical Review Letters,103,057202-1-1057202-4,2009.0,,,,10.1103/PhysRevLett.103.057202,,WOS:000268618300063,1,ESRF
Journal article,,ESRF09TA286,France (ESRF)/Italy,"Tartari A., De Felici M., Gambaccini M., Querzoli P., Bonifazzi C., Ferrero C., Felici R.",Biological tissue characterisation in narrow beam x-ray scattering techniques,X-Ray Spectrometry,38,195-199,2009.0,ID2,ESRF (Grenoble),,10.1002/xrs.1144,,WOS:000265961600008,1,ESRF
Journal article,,ESRF09TE574,France (ESRF)/France (not ESRF),"Terzi S., Boller E., Salvo L., Suéry M.",In situ X-ray microtomography study of the solidification and remelted microstructures of Al-Cu alloys,International Journal of Cast Metals Research,22,275-278,2009.0,ID19,ESRF (Grenoble),,10.1179/136404609X368028,,WOS:000268395500068,1,ESRF
Journal article,,ESRF09TE510,France (ESRF)/France (not ESRF),"Terzi S., Salvo L., Suéry M., Adrien J., Maire E., Boller E.",In-situ X-Ray microtomography investigation of the deformation mechanisms of Al-Cu alloys in the semi-solid state,Materials Science Forum,618-619,275-278,2009.0,ID19,ESRF (Grenoble),,10.4028/www.scientific.net/MSF.618-619.275,,WOS:000269310200051,1,ESRF
Journal article,,ESRF09TE194,France (ESRF)/France (not ESRF),"Terzi S., Salvo L., Suéry M., Boller E.",In situ X-ray microtomography characterization of the entrapped liquid formed during partial remelting of a cold-rolled Al-8 wt.% Cu alloy,Scripta Materialia,60,671-674,2009.0,ID19,ESRF (Grenoble),,10.1016/j.scriptamat.2008.12.042,,WOS:000264432800019,1,ESRF
Journal article,,ESRF09TE300,France (ESRF)/France (not ESRF)/Switzerland,"Terzi S., Salvo L., Suéry M., Limodin N., Adrien J., Maire E., Pannier Y., Bornert M., Bernard D., Felberbaum M., Rappaz M., Boller E.",In situ X-ray tomography observation of inhomogeneous deformation in semi-solid aluminium alloys,Scripta Materialia,61,449-452,2009.0,ID19,ESRF (Grenoble),,10.1016/j.scriptamat.2009.04.041,,WOS:000268426700001,1,ESRF
Journal article,,ESRF09TH155,France (ESRF)/India/Korea,"Thakur P., Cezar J.C., Brookes N.B., Choudhary R.J., Prakash R., Phase D.M., Chae K.H., Kumar R.",Direct observation of oxygen induced room temperature ferromagnetism in MoO2 thin films by X-ray magnetic circular dichroism characterizations,Applied Physics Letters,94,062501-1-062501-3,2009.0,ID8,ESRF (Grenoble),Inhouse,10.1063/1.3080679,,WOS:000263409400058,1,ESRF
Journal article,,ESRF09TI314,France (ESRF)/France (not ESRF),"Timmins J., Gordon E., Caria S., Leonard G., Acajjaoui S., Kuo M.S., Monchois V., McSweeney S.",Structural and mutational analyses of Deinococcus radiodurans UvrA2 provide insight into DNA binding and damage recognition by UvrAs,Structure,17,547-558,2009.0,ID23-1/ID29,ESRF (Grenoble),,10.1016/j.str.2009.02.008,,WOS:000265265600010,1,ESRF
Journal article,,ESRF09TO363,France (ESRF),"Tosi T., Cioci G., Jouravleva K., Dian C., Terradot L.",Structures of the tumor necrosis factor alpha inducing protein Tipalpha: A novel virulence factor from Helicobacter pylori,FEBS Letters,583,1581-1585,2009.0,ID14-4/ID29,ESRF (Grenoble),,10.1016/j.febslet.2009.04.033,,WOS:000266402500005,1,ESRF
Journal article,,ESRF09TO710,France (not ESRF)/Portugal/France (ESRF),"Toulemonde P., Darie C., Goujon C., Legendre M., Mendonca T., Alvarez-Murga M., Simonet V., Bordet P., Bouvier P., Kreisel J., Mezouar M.",Single crystal growth of BiMnO3 under high pressure-high temperature,High Pressure Research,29,600-604,2009.0,ID27,ESRF (Grenoble),,10.1080/08957950903467050,,WOS:000274675700026,1,ESRF
Journal article,,ESRF09VA202,France (ESRF),"Vaccari M., Aquilanti G., Pascarelli S., Mathon O.",A new EXAFS investigation of local structural changes in amorphous and crystalline GeO2 at high pressure,Journal of Physics Condensed Matter,21,145403-1-145403-8,2009.0,BM29,ESRF (Grenoble),,10.1088/0953-8984/21/14/145403,,WOS:000264316400021,1,ESRF
Journal article,,ESRF09VA619,France (ESRF)/Greece,"Vaccari M., Garbarino G., Yannopoulos S.N., Andrikopoulos K.S., Pascarelli S.",High pressure transition in amorphous As2S3 studied by EXAFS,Journal of Chemical Physics,131,224502-1-224502-4,2009.0,BM29/ID24,ESRF (Grenoble),,10.1063/1.3269045,,WOS:000272803000040,1,ESRF
Journal article,,ESRF09VA275,France (ESRF)/Germany,"Vajenine G.V., Wang X., Efthimiopoulos I., Karmakar S., Syassen K., Hanfland M.",Structural phase transitions of sodium nitride at high pressure,Physical Review B,79,224107-1-224107-8,2009.0,ID9A,ESRF (Grenoble),,10.1103/PhysRevB.79.224107,,WOS:000267699300032,1,ESRF
Journal article,,ESRF09VA354,France (ESRF)/Italy,"van Beek W., Carniato F., Kumar S., Croce G., Boccaleri E., Milanesio M.",Studying modifications and reactions in materials by simultaneous Raman and X-ray powder diffraction at non-ambient conditions: Methods and applications,Phase Transitions,82,293-302,2009.0,BM1B,ESRF (Grenoble),,10.1080/01411590902887836,,WOS:000266811200002,1,ESRF
Journal article,,ESRF09VA289,Belgium/France (ESRF)/France (not ESRF)/The Netherlands,"van der Snickt G., Dik J., Cotte M., Janssens K., Jaroszewicz J., De Nolf W., Groenewegen J., van der Loeff L.",Characterization of a degraded cadmium yellow (CdS) pigment in an oil painting by means of synchrotron radiation based X-ray techniques,Analytical Chemistry,81,2600-2610,2009.0,ID18F/ID21,ESRF (Grenoble),,10.1021/ac802518z,,WOS:000264759400025,1,ESRF
Journal article,,ESRF09VA456,Belgium/France (ESRF)/France (not ESRF),"Vanhooydonck B., Meulepas G., Herrel A., Boistel R., Tafforeau P., Fernandez V., Aerts P.","Ecomorphological analysis of aerial performance in a non-specialized lacertid lizard, Holaspis guentheri",Journal of Experimental Biology,212,2475-2482,2009.0,BM5/ID17/ID19,ESRF (Grenoble),,10.1242/jeb.031856,,WOS:000268136700029,1,ESRF
Journal article,,ESRF09VE325,Finland/France (ESRF)/Hungary,"Verbeni R., Pylkkänen T., Huotari S., Simonelli L., Vankó G., Martel K., Henriquet C., Monaco G.",Multiple-element spectrometer for non-resonant inelastic X-ray spectroscopy of electronic excitations,Journal of Synchrotron Radiation,16,469-476,2009.0,ID16,ESRF (Grenoble),,10.1107/S090904950901886X,,WOS:000267047100004,1,ESRF
Journal article,,ESRF09VI399,France (ESRF)/Sweden,"Vincent J., Andersson M., Eklund M., Wöhri A.B., Odelius M., Malmerberg E., Kong Q., Wulff M., Neutze R., Davidsson J.",Solvent dependent structural perturbations of chemical reaction intermediates visualized by time-resolved x-ray diffraction,Journal of Chemical Physics,130,154502-1-154502-9,2009.0,ID9B,ESRF (Grenoble),,10.1063/1.3111401,,WOS:000265486300028,1,ESRF
Journal article,,ESRF09VI412,France (ESRF)/France (not ESRF),"Violot S., Carpentier P., Blanchoin L., Bourgeois D.",Reverse pH-dependence of chromophore protonation explains the large stokes shift of the red fluorescent protein mKeima,Journal of the American Chemical Society,131,10356-10357,2009.0,,ESRF (Grenoble),,10.1021/ja903695n,,WOS:000268644400011,1,ESRF
Journal article,,ESRF09VO652,Austria/Poland/France (ESRF),"Vogl G., Partyka-Jankowska E., Zajac M., Chumakov A.I.",Diffusion jumps of single atoms into vacancies in an iron monolayer studied by nuclear resonant scattering,Physical Review B,80,115406-1-115406-8,2009.0,ID18,ESRF (Grenoble),,10.1103/PhysRevB.80.115406,,WOS:000270383200118,1,ESRF
Journal article,,ESRF09VO345,France (ESRF)/France (not ESRF),"Volkringer C., Loiseau T., Guillou N., Férey G., Haouas M., Taulelle F., Audebrand N., Margiolaki I., Popov D., Burghammer M., Riekel C.",Structural transitions and flexibility during dehydration-rehydration process in the MOF-type aluminum pyromellitate Al2(OH)2[C10O8H2] (MIL-118),Crystal Growth & Design,9,2927-2936,2009.0,ID13/ID31,ESRF (Grenoble),,10.1021/cg900276g,,WOS:000266708600062,1,ESRF
Journal article,,ESRF09VO602,France (ESRF)/France (not ESRF),"Volkringer C., Loiseau T., Haouas M., Taulelle F., Popov D., Burghammer M., Riekel C., Zlotea C., Cuevas F., Latroche M., Phanon D., Knöfelv C., Llewellyn P.L., Férey G.","Occurrence of uncommon infinite chains consisting of edge-sharing octahedra in a porous metal organic framework-type aluminum pyromellitate Al4(OH)8[C10O8H2] (MIL-120): Synthesis, structure, and gas sorption properties",Chemistry of Materials,21,5783-5791,2009.0,ID13,ESRF (Grenoble),,10.1021/cm9023106,,WOS:000272597500012,1,ESRF
Journal article,,ESRF10VO167,France (ESRF)/France (not ESRF),"Volkringer C., Popov D., Loiseau T., Férey G., Burghammer M., Riekel C., Haouas M., Taulelle F.","Synthesis, single-crystal X-ray microdiffraction, and NMR characterizations of the giant pore metal-organic framework aluminum trimesate MIL-100",Chemistry of Materials,21,5695-5697,2009.0,ID13,ESRF (Grenoble),,10.1021/cm901983a,,WOS:000272597500001,1,ESRF
Journal article,,ESRF09VO270,France (ESRF)/Russia,"Vorobiev A., Gordeev G., Konovalov O., Orlova D.",Surface structure of sterically stabilized ferrofluids in a normal magnetic field: Grazing-incidence x-ray study,Physical Review E,79,031403-1-031403-9,2009.0,ID10B,ESRF (Grenoble),,10.1103/PhysRevE.79.031403,,WOS:000264767300064,1,ESRF
Article from Conference in a Book,,ESRF10WA597,France (ESRF)/France (not ESRF)/Germany,"Walenta A.H., Böhm M., Bravin A., Estève F., Erbel R., Fiedler S., Kalthoff O., Mielebacher J., Möhlenkamp S., Scheller B., Schenk H.W., Walenta K.",Simultaneous measurement of cardiac perfusion and permeability in vivo with synchrotron radiation imaging,IEEE Nuclear Science Symposium Conference,,2540-2547,2009.0,ID17,ESRF (Grenoble),,10.1109/NSSMIC.2009.5402031,,,1,ESRF
Article from Conference in a Journal,,ESRF09WA471,France (ESRF)/UK/USA,"Walker H.C., Ewings R.A., Fabrizi F., Mannix D., Mazzoli C., Wilkins S.B., Paolasini L., Prabhakaran D., Boothroyd A.T., McMorrow D.F.",X-ray resonant scattering study of the magnetic phase diagram of multiferroic TbMnO3,Physica B,404,3264-3266,2009.0,ID20_RXD,ESRF (Grenoble),,10.1016/j.physb.2009.07.085,,WOS:000271357300100,1,ESRF
Journal article,,ESRF09WA125,France (ESRF)/Germany/Japan/Korea/UK,"Walker H.C., McEwen K.A., McMorrow D.F., Bleckmann P., Park J.G., Lee S., Iga F., Mannix D.",X-ray resonant scattering study of the structural and magnetic transitions in PrB6,Physical Review B,79,054402-1-054402-8,2009.0,BM28,ESRF (Grenoble),,10.1103/PhysRevB.79.054402,,WOS:000263815400043,1,ESRF
Journal article,,ESRF09WA488,France (ESRF)/UK,"Walsh M.J., Hammiche A., Fellous T.G., Nicholson J.M., Cotte M., Susini J., Fullwood N.J., Martin-Hirsch P.L., Alison M.R., Martin F.L.",Tracking the cell hierarchy in the human intestine using biochemical signatures derived by mid-infrared microspectroscopy,Stem Cell Research,3,15-27,2009.0,ID21,ESRF (Grenoble),,10.1016/j.scr.2009.02.003,,WOS:000272225000003,1,ESRF
Journal article,,ESRF09WA389,France (ESRF)/France (not ESRF)/USA,"Wandersman E., Chushkin Y., Dubois E., Dupuis V., Demouchy G., Robert A., Perzynski R.",Repulsive and attractive ferroglasses : A SAXS and XPCS study,Brazilian Journal of Physics,39,210-216,2009.0,ID2/ID10C,ESRF (Grenoble),,10.1590/S0103-97332009000200014,,WOS:000267893800014,1,ESRF
Journal article,,ESRF09WA369,France (ESRF)/France (not ESRF),"Warren S., Prod'homme P., Maroun F., Allongue P., Cortès R., Ferrero C., Lee T.L., Cowie B.C.C., Walker C.J., Ferrer S., Zegenhagen J.",Electrochemical Au deposition on stepped Si(1 1 1)-H surfaces: 3D versus 2D growth studied by AFM and X-ray diffraction,Surface Science,603,1212-1220,2009.0,ID3/ID32_HX,ESRF (Grenoble),,10.1016/j.susc.2009.03.004,,WOS:000266610700011,1,ESRF
Journal article,,ESRF09WE376,Canada/France (ESRF)/France (not ESRF),"Weck G., Desgreniers S., Loubeyre P., Mezouar M.",Single-crystal structural characterization of the metallic phase of oxygen,Physical Review Letters,102,255503-1-255503-4,2009.0,ID27,ESRF (Grenoble),,10.1103/PhysRevLett.102.255503,,WOS:000267432000039,1,ESRF
Journal article,,ESRF09WE632,France (not ESRF)/France (ESRF)/USA,"Weck G., Eggert J., Loubeyre P., Desbiens N., Bourasseau E., Maillet J.B., Mezouar M., Hanfland M.",Phase diagrams and isotopic effects of normal and deuterated water studied via X-ray diffraction up to 4.5 GPa and 500 K,Physical Review B,80,180202-1-180202-4,2009.0,ID30/ID9A,ESRF (Grenoble),,10.1103/PhysRevB.80.180202,,WOS:000272310900003,1,ESRF
Book chapter,,ESRF10WE371,France (ESRF)/UK/USA,"Weis W.I., Rosenbaum D.M., Rasmussen S.G.F., Choi H.J., Thian F.S., Kobilka T.S., Yao X.J., Day P.W., Parnot C., Fung J.J., Ratnala V.R.P., Kobilka B.K., Cherezov V., Hanson M.A., Kuhn P., Stevens R.C., Edwards P.C., Schertler G.F.X., Burghammer M., Sanishvili R., Fischetti R.F., Masood A., Rohrer D.K.",Crystal structures of the β2-adrenergic receptor,,,,,ID13,ESRF (Grenoble)/APS (Argonne),,10.1007/978-90-481-2339-1_14,,,1,ESRF
Journal article,,ESRF09WE111,France (ESRF)/Germany,"Wellenreuther G., Cianci M., Tucoulou R., Meyer-Klaucke W., Haase H.",The ligand environment of zinc stored in vesicles,Biochemical and Biophysical Research Communications,380,198-203,2009.0,ID22,ESRF (Grenoble)/HASYLAB (Hambourg),SC-2139,10.1016/j.bbrc.2009.01.074,,WOS:000263656100037,1,ESRF
Journal article,OA,ESRF09WE672,USA/France (ESRF)/UK,"Wenk H.R., Barton N., Bortolotti M., Vogel S.C., Voltolini M., Lloyd G.E., González G.B.",Dauphiné twinning and texture memory in polycrystalline quartz. Part 3: Texture memory during phase transformation,Physics and Chemistry of Minerals,36,567-583,2009.0,ID15B_HEX,ESRF (Grenoble)/HASYLAB (Hambourg),,10.1007/s00269-009-0302-6,,WOS:000272075800003,1,ESRF
Journal article,,ESRF09WE460,Denmark/France (ESRF),"West S.S., Schmidt S., Sørensen H.O., Winther G., Poulsen H.F., Margulies L., Gundlach C., Jensen D.J.",Direct non-destructive observation of bulk nucleation in 30% deformed aluminum,Scripta Materialia,61,875-878,2009.0,ID11,ESRF (Grenoble),,10.1016/j.scriptamat.2009.07.027,,WOS:000270343100007,1,ESRF
Journal article,,ESRF09WI441,France (ESRF)/Germany/USA,"Wiegart L., O'Flaherty S.M., Schmacke S., Gleyzolle H., Struth B.",Self-assembly of organic monolayers below the freezing threshold,Langmuir,25,5614-5618,2009.0,ID10B,ESRF (Grenoble),,10.1021/la804016t,,WOS:000266081000030,1,ESRF
Journal article,,ESRF09WI349,France (ESRF)/France (not ESRF)/USA,"Wiegart L., O'Flaherty S.M., Terech P.",From specular reflectivity to time-resolved grazing incidence X-ray scattering out of the specular plane (GISAXS): Equilibrium and nonequilibrium states of organic/inorganic monolayers at liquid surfaces,Langmuir,25,4104-4110,2009.0,ID10B,ESRF (Grenoble),,10.1021/la803547j,,WOS:000264798000026,1,ESRF
Journal article,,ESRF10WI723,France (ESRF)/France (not ESRF)/The Netherlands/UK/USA,"Wilkins S.B., Di Matteo S., Beale T.A.W., Joly Y., Mazzoli C., Hatton P.D., Bencok P., Yakhou F., Brabers V.A.M.",Critical reexamination of resonant soft x-ray Bragg forbidden reflections in magnetite,Physical Review B,79,201102-1-201102-4,2009.0,ID8,ESRF (Grenoble),,10.1103/PhysRevB.79.201102,,WOS:000266501500002,1,ESRF
Journal article,,ESRF09WI553,USA/UK/France (ESRF)/France (not ESRF),"Wilkins S.B., Forest T.R., Beale T.A.W., Bland S.R., Walker H.C., Mannix D., Yakhou F., Prabhakaran D., Boothroyd A.T., Hill J.P., Hatton P.D., McMorrow D.F.",Nature of the magnetic order and origin of induced ferroelectricity in TbMnO3,Physical Review Letters,103,207602-1-207602-4,2009.0,ID8,ESRF (Grenoble)/SRS (Daresbury),,10.1103/PhysRevLett.103.207602,,WOS:000271864600050,1,ESRF
Journal article,,ESRF09WI513,Belgium/France (ESRF)/UK,"Wilson C.J., Croes K., Zhao C., Metzger T.H., Zhao L., Beyer G.P., Horstall A.B., O'Neill A.G., Tökei Z.",Synchrotron measurement of the effect of linewidth scaling on stress in advanced Cu/Low-k interconnects,Journal of Applied Physics,106,053524-1-053524-7,2009.0,ID1,ESRF (Grenoble),,10.1063/1.3212572,,WOS:000269850300044,1,ESRF
Journal article,,ESRF09WI705,UK/Belgium/France (ESRF),"Wilson C.J., Zhao C., Zhao L., Metzger T.H., Tökei Z., Croes K., Pantouvaki M., Beyer G.P., Horstall A.B., O'Neill A.G.",Study of the effect of dielectric porosity on the stress in advanced Cu/low-k interconnects using x-ray diffraction,Applied Physics Letters,94,181914-1-181914-3,2009.0,ID1,ESRF (Grenoble),,10.1063/1.3133345,,WOS:000265933700025,1,ESRF
Journal article,,ESRF10WI336,Germany/Sweden/India/France (ESRF),"Winkler A., Narayanan N., Mikhailova D., Bramnik K.G., Ehrenberg H., Fuess H., Vaitheeswaran G., Kanchana V., Wilhelm F., Rogalev A., Kolchinskaya A., Alff L.",Magnetism in Re-based ferrimagnetic double perovskites,New Journal of Physics,11,073047-1-073047-9,2009.0,ID12,ESRF (Grenoble),,10.1088/1367-2630/11/7/073047,,WOS:000268480200001,1,ESRF
Article from Conference in a Book,,ESRF10WI192,Germany/France (ESRF),"Wirjadi O., Schladitz K., Rack A., Breuel T.",Applications of anisotropic image filters for computing 2D and 3D-fiber orientations,The MIRIAM Project Series,4,107-112,2009.0,ID22,ESRF (Grenoble),,,,,1,ESRF
